履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,
年間,火,,,○,○,,,情報工学実験Ⅱ,,高橋　聖,細野　裕行,望月　寛,山口　健,櫻庭　秀次,,,,,,,,,,,,,,,,,,,,,,,,,,,,221(実験室),,,,,,,,,,
前期,火,,,○,,,,計測システム,,布施　匡章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443,,,,,,,,,,
後期,火,,,○,,,,マネジメント工学,,五味　悠一郎,篠原　昭夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,1443,,,,,,,,,
年間隔週,火,,,,○,,,インターンシップ,年間隔週授業,西脇　大輔,澤邉　知子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443,,,,,,,,,,
前期,火,,,,○,,,オートマトン,,保谷　哲也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422,,,,,,,,,,
前期,火,,,,,○,,幾何概論Ⅰ,,大越　健斗　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,,,,
後期,火,,,,,○,,幾何概論Ⅱ,,齋藤　洋樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
前期,火,,,,,,○,情報社会と倫理,,宮崎　智絵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
前期,水,○,,,,,,情報基礎演習Ⅰ,,西脇　大輔,澤邉　知子,山口　健,関　弘翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,1021,1201(PC演習室),1204(PC演習室),,,,,,,
後期,水,○,○,,,,,Ｃプログラミング及び演習,,香取　照臣,滕　琳,関　弘翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201(PC演習室),1204(PC演習室),,,,,,,,,
後期,水,○,,,,,,数値計算法,,高橋　聖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
前期,水,○,,,,,,制御理論,,保谷　哲也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
後期,水,○,,,,,,オペレーティングシステム,,望月　寛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,,,,,,,,,,
後期,水,○,,,,,,特殊無線概論,,三枝　健二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442,,,,,,,,,,
前期,水,,○,,,,,論理回路,１クラス用,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,
前期,水,,○,,,,,論理回路,２クラス用,香取　照臣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,,,,,,,,
前期,水,,○,,,,,組込回路Ⅰ,,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222(PC演習室),1442,,,,,,,,,
後期,水,,○,,,,,情報ネットワーク基礎,,澤邉　知子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,,,,,,,,,,
前期,水,,○,,,,,ネットワークシステム,,澤邉　知子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
後期,水,,○,,,,,パターン認識,,西脇　大輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,,,,,,,,,,
前期,水,,○,,,,,交通情報システム,,高橋　聖,高橋　聡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,,,,,,,,,,
前期,水,,,○,,,,線形代数学Ⅰ,,五十嵐　威文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
後期,水,,,○,,,,線形代数学Ⅱ,,梅田　耕平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
年間,水,,,○,,,,データ構造とアルゴリズム及び演習,,香取　照臣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,1201(PC演習室),1204(PC演習室),,,,,,,,
年間,水,,,○,○,,,情報工学実験Ⅲ,,保谷　哲也,松野　裕,五味　悠一郎,村上　知里,関　弘翔,宮崎　比呂志,,,,,,,,,,,,,,,,,,,,,,,,,,,221(実験室),,,,,,,,,,
